ID do museu,Dificuldade locomoção,Deficiencia Visual e Auditiva,Pessoa Estrangeira,Grupos_Acessibilidade_Filtro
80292,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Banheiros adaptados, Circuito de visitação adaptado, Elevador adaptado",Sinalização tátil,Não possui,"Recursos Sensoriais (Visual e Tátil), Acesso e mobilidade (Locomoção)"
80293,Não possui,Não possui,Não possui,
80294,Corrimão nas escadas e rampas,Não possui,Não possui,Acesso e mobilidade (Locomoção)
80295,Não possui,Site acessível em libras,Não possui,
80296,"Rampa de acesso, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Cadeira de rodas para uso do visitante, Elevador adaptado",Não possui,"Guia, monitor e/ou mediador","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
80297,"Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Banheiros adaptados",Tradutor de Língua Brasileira de Sinais (LIBRAS),Não possui,"Acesso e mobilidade (Locomoção)"
80298,Não possui,Não possui,Não possui,
80299,Não possui,Não possui,Não possui,
80300,"Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos",Não possui,"Guia, monitor e/ou mediador, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
80301,Não possui,Não possui,Não possui,
80302,Não informado,Não informado,Não informado,
80303,Não informado,Não informado,Não informado,
80304,"Corrimão nas escadas e rampas, Cadeira de rodas para uso do visitante",Não possui,Não possui,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
80305,"Rampa de acesso, Sanitário adaptado, Banheiros adaptados, Circuito de visitação adaptado, Elevador adaptado, sim",Sinalização tátil,"Guia, monitor e/ou mediador","Recursos Sensoriais (Visual e Tátil), Acesso e mobilidade (Locomoção)"
80306,Não informado,Não informado,Não informado,
80308,"Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Elevador adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
80309,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Elevador adaptado, Bebedouro adaptado",Não informado,"Guia, monitor e/ou mediador, Sinalização visual","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80310,Não possui,Não possui,Não possui,
80311,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
80312,Não possui,Não possui,Não possui,
80313,Não informado,Não informado,Não informado,
80314,Não possui,Não possui,Não possui,
80315,Não possui,Não possui,Não possui,
80316,Não possui,Não possui,Não possui,
80317,Não possui,Não possui,Não possui,
80318,Não possui,Não informado,Não informado,
80319,"Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Banheiros adaptados",Não possui,"Guia, monitor e/ou mediador, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
80320,Não possui,Não possui,Não possui,
80321,Não possui,Não possui,Não possui,
80322,"Sanitário adaptado, Banheiros adaptados, Elevador adaptado",Não informado,"Guia, monitor e/ou mediador","Acesso e mobilidade (Locomoção)"
80323,Não possui,Não possui,Não possui,
80324,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
80325,Não possui,Não possui,Não possui,
80326,"Corrimão nas escadas e rampas, Rampa de acesso, Banheiros adaptados, Elevador adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
80327,"Elevador, Cadeira de rodas para uso do visitante, Banheiros adaptados, Elevador adaptado",Não possui,"Guia, monitor e/ou mediador, Sinalização visual","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80328,Não possui,Não possui,Não possui,
80329,Não possui,Não possui,Não possui,
80330,Não possui,Não possui,Vídeo,
80332,Não informado,Não informado,Não informado,
80333,Não possui,Não possui,Não possui,
80334,"Rampa de acesso, Elevador, Sanitário adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
80335,Não possui,Não possui,Não possui,
80336,"Corrimão nas escadas e rampas, Rampa de acesso, Elevador, Sanitário adaptado, Cadeira de rodas para uso do visitante, Banheiros adaptados, Elevador adaptado","Maquetes táteis ou mapas em relevo, Tradutor de Língua Brasileira de Sinais (LIBRAS)","Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80337,Não possui,Não possui,Não possui,
80339,"Corrimão nas escadas e rampas, Sanitário adaptado, Cadeira de rodas para uso do visitante, Elevador adaptado",Texto/Etiquetas em Braille,"Guia, monitor e/ou mediador","Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
80340,Não possui,Não possui,Não possui,
80341,"Bebedouro adaptado, Elevador para pessoas com mobilidade reduzida (não cadeirantes)","Obras e reproduções táteis, Tradutor de Língua Brasileira de Sinais (LIBRAS), O serviço de tradutor de libras não é permanente, portanto, depende da exposição e da solicitação prévia de grupos agendadosagendados","Guia, monitor e/ou mediador, Material de divulgação impresso","Acesso e mobilidade (Locomoção), Apoio humano ou equipamentos para assistência"
80342,Não possui,Não possui,Não possui,
80343,Não informado,Não informado,Não informado,
80344,Não possui,Não possui,Não possui,
80345,Rampa de acesso,Guia multimídia (audioguia com monitor),Não possui,Acesso e mobilidade (Locomoção)
80346,Rampa de acesso,Não possui,"Guia, monitor e/ou mediador",Acesso e mobilidade (Locomoção)
80347,Não possui,Não possui,Não possui,
80348,Não possui,Não possui,Não possui,
80349,Não informado,Não informado,Não informado,
80352,Não informado,Não informado,Não informado,
80350,Não possui,Não possui,Não possui,
80353,Não possui,Não possui,Não possui,
80351,Não informado,Não informado,Não informado,
80354,Não possui,Não possui,Não possui,
80355,Não possui,Não possui,Não possui,
80356,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
80357,Não possui,Não possui,Não possui,
80358,"Acessibilidade para cadeiras de rodas, andar térreo sem rampas e/ou degraus, mas não possui banheiros adaptados",Não possui,Material de divulgação impresso,Apoio humano ou equipamentos para assistência
80359,Não informado,Não informado,Não informado,
80360,"Corrimão nas escadas e rampas, Cadeira de rodas para uso do visitante",Não possui,Não possui,"Apoio humano ou equipamentos para assistência, Acesso e mobilidade (Locomoção)"
80361,Não informado,Não informado,Não informado,
80362,Não informado,Não informado,Não informado,
80363,Não informado,Não informado,Não informado,
80364,Não possui,Não possui,Não possui,
80365,Não possui,Não possui,Não possui,
80366,Não possui,Não possui,Não possui,
80367,Não possui,Não possui,Não possui,
80368,Não possui,Não possui,Não possui,
80369,Elevador adaptado,Não possui,Não possui,Acesso e mobilidade (Locomoção)
80370,Não possui,Não possui,Não possui,
80371,"Rampa de acesso, Elevador, Sanitário adaptado",Não informado,"Guia, monitor e/ou mediador, Sinalização visual","Acesso e mobilidade (Locomoção), Recursos de Comunicação (Auditiva e Idiomas)"
80372,Não possui,Não possui,"Guia, monitor e/ou mediador",
80373,Não possui,Não possui,Não possui,
80374,Rampa de acesso,Não possui,Não possui,Acesso e mobilidade (Locomoção)
80375,Não possui,Não possui,"Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso","Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
80376,Não informado,Não informado,Não informado,
80377,"Corrimão nas escadas e rampas, Rampa de acesso, Banheiros adaptados",Não possui,Não possui,"Acesso e mobilidade (Locomoção)"
80378,"Corrimão nas escadas e rampas, Rampa de acesso, Sanitário adaptado, Vaga de estacionamento exclusiva para deficientes e/ou idosos, Vaga de estacionamento exclusiva para idosos, Cadeira de rodas para uso do visitante, Banheiros adaptados, Circuito de visitação adaptado, Bebedouro adaptado, Telefone público adaptado","Guia multimídia (audioguia com monitor), Maquetes táteis ou mapas em relevo, Obras e reproduções táteis, Sinalização tátil, Texto/Etiquetas em Braille, Tradutor de Língua Brasileira de Sinais (LIBRAS)","Guia, monitor e/ou mediador, Sinalização visual, Material de divulgação impresso, Audioguia","Acesso e mobilidade (Locomoção), Recursos Sensoriais (Visual e Tátil), Apoio humano ou equipamentos para assistência, Recursos de Comunicação (Auditiva e Idiomas)"
80379,Não possui,Não possui,Não possui,
